meetingDate,meetingId,trackName,raceTime,raceDate,raceId,raceTitle,raceNumber,raceType,raceHandicap,raceClass,raceDistance,racePrizes,raceGoing,raceForecast,raceTricast,trapNumber,trapHandicap,dogId,dogName,dogSire,dogDam,dogBorn,dogColour,dogSex,dogSeason,trainerName,ownerName,SP,resultPosition,resultMarketPos,resultMarketCnt,resultPriceNumerator,resultPriceDenominator,resultBtnDistance,resultSectionalTime,resultComment,resultRunTime,resultDogWeight,resultAdjustedTime
15/05/2024,410747,Romford,19:14:00,15/05/2024,1037798,FOSTER A GREYHOUND,3,Flat,False,A11,400.0,1st £105 | Others £45 Race Total £330,0,(5-1) £7.44,(5-1-6) £18.75,1,,619910,Madame Jo Jo,King Elvis,Swabys Luciejane,Apr-2021,bk,b,27.My.23,D Mullins,"Mr G W Colbourne,mr K Maguire",7/4F,2,1,1,7,4,9 1/2,03.90,"RailsToMiddle,ClearRun",25.33,30.7,25.33
15/05/2024,410747,Romford,19:14:00,15/05/2024,1037798,FOSTER A GREYHOUND,3,Flat,False,A11,400.0,1st £105 | Others £45 Race Total £330,0,(5-1) £7.44,(5-1-6) £18.75,6,,541517,Underground Luke,Kisses For Cloda,Scroggy Lily,Oct-2018,wbk,d,,P W Young,"Mr K Cingoz,mr A Heard,mr R I Wightman,mr P W Young",9/2,3,4,1,9,2,3/4,03.98,"Wide,FcdTCk2,Crowded 3/4",25.39,37.5,25.39
15/05/2024,410747,Romford,19:14:00,15/05/2024,1037798,FOSTER A GREYHOUND,3,Flat,False,A11,400.0,1st £105 | Others £45 Race Total £330,0,(5-1) £7.44,(5-1-6) £18.75,3,,634184,Last Dance Fredy,Pestana,Black Eyed Molly,May-2022,be,d,,J Bloomfield,The Last Dance Syndicate,3/1,4,3,1,3,1,2,04.16,"VerySlowAway,Middle,Bmp3",25.55,30.9,25.55
15/05/2024,410747,Romford,19:14:00,15/05/2024,1037798,FOSTER A GREYHOUND,3,Flat,False,A11,400.0,1st £105 | Others £45 Race Total £330,0,(5-1) £7.44,(5-1-6) £18.75,2,,554042,Mayses Princess,Droopys Jet,Mayshighlandreel,Mar-2020,bk,b,Suppressed,M E Wiley,"Mr G Carpenter,mr R S Marling,mr M E Wiley",33/1,5,6,1,33,1,1 3/4,03.90,"MiddleToRails,Bumped3",25.69,23.2,25.69
15/05/2024,410747,Romford,19:14:00,15/05/2024,1037798,FOSTER A GREYHOUND,3,Flat,False,A11,400.0,1st £105 | Others £45 Race Total £330,0,(5-1) £7.44,(5-1-6) £18.75,4,,640111,Butter Biscuits,Malachi,Sanitize,Oct-2022,be,b,Suppressed,M E Westwood,Mr D P Webb,8/1,6,5,1,8,1,1 1/4,03.92,"Middle,Bumped3",25.79,25.0,25.79
15/05/2024,410747,Romford,19:32:00,15/05/2024,1037799,PREMIER GREYHOUND RACING ON SKY SPORTS RACING,4,Flat,False,A5,400.0,1st £140 | Others £55 Race Total £415,0,(6-5) £5.86,(6-5-1) £14.31,6,,641990,Micks Boy,Pat C Sabbath,Highview Lauren,Jul-2022,bk,d,,P W Young,"Mr D C G Goldsbrough,mr M Goldsbrough,mr P W Young",10/11F,1,1,1,10,11,,03.83,"Wide,Led4",24.75,29.7,24.75
15/05/2024,410747,Romford,19:32:00,15/05/2024,1037799,PREMIER GREYHOUND RACING ON SKY SPORTS RACING,4,Flat,False,A5,400.0,1st £140 | Others £55 Race Total £415,0,(6-5) £5.86,(6-5-1) £14.31,5,,632135,Young Velvet,Broadstrand Bono,Princess Pizza,Sep-2021,bk,b,Suppressed,P W Young,Young At Heart Syndicate,4/1,2,2,1,4,1,3/4,03.85,"MidTWide,FcdTCk2& 3/4,RnOn",24.81,26.2,24.81
15/05/2024,410747,Romford,19:32:00,15/05/2024,1037799,PREMIER GREYHOUND RACING ON SKY SPORTS RACING,4,Flat,False,A5,400.0,1st £140 | Others £55 Race Total £415,0,(6-5) £5.86,(6-5-1) £14.31,1,,619076,Rusty Dot,Ballymac Best,Fiadh Beag,Feb-2021,bk,b,Suppressed,P W Young,Mr P W Young,9/2,3,3,1,9,2,3/4,03.83,"Rails,Bumped4",24.87,27.5,24.87
15/05/2024,410747,Romford,19:32:00,15/05/2024,1037799,PREMIER GREYHOUND RACING ON SKY SPORTS RACING,4,Flat,False,A5,400.0,1st £140 | Others £55 Race Total £415,0,(6-5) £5.86,(6-5-1) £14.31,3,,619258,Quater Keg,Gaytime Hawk,Gaytime Derval,Feb-2021,bk,b,Suppressed,M E Wiley,Mr E V Wiley,5/1,4,4,1,5,1,1,03.88,"Middle,Bumped4",24.95,28.0,24.95
15/05/2024,410747,Romford,19:32:00,15/05/2024,1037799,PREMIER GREYHOUND RACING ON SKY SPORTS RACING,4,Flat,False,A5,400.0,1st £140 | Others £55 Race Total £415,0,(6-5) £5.86,(6-5-1) £14.31,2,,604807,Tokenfire Mai,Out Of Range ASB,Tokenfire Abbie,Nov-2020,bdw,b,Suppressed,K M O'flaherty,Chasing Gold,16/1,5,6,1,16,1,SH,03.68,"QuickAway,MidTRls,LdTBmp4",24.96,27.5,24.96
15/05/2024,410747,Romford,19:32:00,15/05/2024,1037799,PREMIER GREYHOUND RACING ON SKY SPORTS RACING,4,Flat,False,A5,400.0,1st £140 | Others £55 Race Total £415,0,(6-5) £5.86,(6-5-1) £14.31,4,,638784,Blue Genie,Droopys Sydney,Hello Laura,Mar-2022,be,d,,C Wilson,Mr K A Wilson,6/1,6,5,1,6,1,4 1/4,04.15,"VerySlowAway,MiddleTRails",25.30,34.1,25.30
15/05/2024,410747,Romford,19:49:00,15/05/2024,1037800,PRMIER GREYHOUND RACING ON SKY SPORTS RACING RED BUTTON,5,Flat,False,A6,400.0,1st £135 | Others £55 Race Total £355,0,(4-6) £13.36,(4-6-1) £0.00,5,,,,,,,,,,,,,,,,,,,,,,,
15/05/2024,410747,Romford,19:49:00,15/05/2024,1037800,PRMIER GREYHOUND RACING ON SKY SPORTS RACING RED BUTTON,5,Flat,False,A6,400.0,1st £135 | Others £55 Race Total £355,0,(4-6) £13.36,(4-6-1) £0.00,4,,628364,Jeopardy Raven,Magical Bale,Pipette,Nov-2021,bk,b,Suppressed,P W Young,Jeopardy Racing Syndicate,5/2,1,2,1,5,2,,03.75,"QuickAway,Middle,ALed",24.36,29.7,24.36
15/05/2024,410747,Romford,19:49:00,15/05/2024,1037800,PRMIER GREYHOUND RACING ON SKY SPORTS RACING RED BUTTON,5,Flat,False,A6,400.0,1st £135 | Others £55 Race Total £355,0,(4-6) £13.36,(4-6-1) £0.00,6,,622194,Langston Sioux,Ballymac Vic,Dorotas Irena,Aug-2021,bebd,b,Suppressed,G E Evans,The Longstone Syndicate,7/2,2,3,1,7,2,6,03.87,"SlowAway,Wide",24.84,26.2,24.84
15/05/2024,410747,Romford,19:49:00,15/05/2024,1037800,PRMIER GREYHOUND RACING ON SKY SPORTS RACING RED BUTTON,5,Flat,False,A6,400.0,1st £135 | Others £55 Race Total £355,0,(4-6) £13.36,(4-6-1) £0.00,1,,634612,Altesse Destiny,Good News,Altesse Found,Sep-2021,fw,d,,K M O'flaherty,The Dezzie Boy Syndicate,5/1,3,4,1,5,1,1/2,03.30,"Rails,HitRails&Bmp1",24.87,31.9,24.87
15/05/2024,410747,Romford,19:49:00,15/05/2024,1037800,PRMIER GREYHOUND RACING ON SKY SPORTS RACING RED BUTTON,5,Flat,False,A6,400.0,1st £135 | Others £55 Race Total £355,0,(4-6) £13.36,(4-6-1) £0.00,3,,633895,Tip Top Tiana,Ballymac Wild,Silver Dollar,Apr-2022,dkbd,b,27.My.24,K M O'flaherty,Having The Craic Syndicate,6/1,4,5,1,6,1,1 1/2,03.77,"EPace,MiddleToRails,Bmp1",24.99,25.8,24.99
15/05/2024,410747,Romford,19:49:00,15/05/2024,1037800,PRMIER GREYHOUND RACING ON SKY SPORTS RACING RED BUTTON,5,Flat,False,A6,400.0,1st £135 | Others £55 Race Total £355,0,(4-6) £13.36,(4-6-1) £0.00,2,,641052,Piemans Angel,Magical Bale,Lavan Fairy,Nov-2022,be,b,07.Mr.24,D Mullins,Piemans Racing Club,11/8F,5,1,1,11,8,6 3/4,03.81,"Rails,BadlyBumped1",25.53,29.4,25.53
15/05/2024,410747,Romford,20:09:00,15/05/2024,1037801,REHOME A RETIRED GREYHOUND,6,Flat,False,S2,575.0,1st £180 | Others £55 Race Total £455,0,(1-6) £12.28,(1-6-5) £34.60,1,,626154,Dangerous Brian,Kiowa Sweet Trey,Genuine Honey,Nov-2021,wbk,d,,M L Locke,The Welcome Club,6/4F,1,1,1,6,4,,13.59,"EPace,Rails,Led3",35.99,33.8,35.99
15/05/2024,410747,Romford,20:09:00,15/05/2024,1037801,REHOME A RETIRED GREYHOUND,6,Flat,False,S2,575.0,1st £180 | Others £55 Race Total £455,0,(1-6) £12.28,(1-6-5) £34.60,6,,619492,Rumbling Syd,Droopys Sydney,Lauragh Shareta,Mar-2021,bd,d,,G E Evans,Mr E Jones,6/1,2,5,1,6,1,1,13.76,"Wide,RanOn",36.07,36.4,36.07
15/05/2024,410747,Romford,20:09:00,15/05/2024,1037801,REHOME A RETIRED GREYHOUND,6,Flat,False,S2,575.0,1st £180 | Others £55 Race Total £455,0,(1-6) £12.28,(1-6-5) £34.60,5,,635799,Duchess Harbour,Ballymac Anton,Mucky Harbour,Jun-2022,bk,b,Unknown,P W Young,"Mr P A Harris,mr M G Isaacson,mr M J Lynch",4/1,3,3,2,4,1,2,13.59,"QAw,MiddleToWide,LedTo3",36.23,29.3,36.23
15/05/2024,410747,Romford,20:09:00,15/05/2024,1037801,REHOME A RETIRED GREYHOUND,6,Flat,False,S2,575.0,1st £180 | Others £55 Race Total £455,0,(1-6) £12.28,(1-6-5) £34.60,3,,587894,Puttfor Charlie,Droopys Jet,Puttfor Lorraine,Oct-2019,bk,d,,P W Young,Puttfor Syndicate,7/2,4,2,1,7,2,1,14.00,"MiddleToRails,Bumped1",36.31,31.1,36.31
15/05/2024,410747,Romford,20:09:00,15/05/2024,1037801,REHOME A RETIRED GREYHOUND,6,Flat,False,S2,575.0,1st £180 | Others £55 Race Total £455,0,(1-6) £12.28,(1-6-5) £34.60,4,,634728,Able Partner,Brett Lee,Droopys Smasher,Jan-2022,bk,d,,J T Kingsley,Mr W J Wood,4/1,5,3,2,4,1,2 3/4,13.91,"Middle,Bmp1,FcdTCk5",36.53,33.1,36.53
15/05/2024,410747,Romford,20:09:00,15/05/2024,1037801,REHOME A RETIRED GREYHOUND,6,Flat,False,S2,575.0,1st £180 | Others £55 Race Total £455,0,(1-6) £12.28,(1-6-5) £34.60,2,,631256,Not So Certain,Grangeview Ten,Towstar Jess,Jul-2021,bk,d,,G E Evans,Mr D C Ball,8/1,6,6,1,8,1,4,14.31,"SlowAway,Rails,BadlyBmp1",36.85,34.8,36.85
15/05/2024,410747,Romford,20:26:00,15/05/2024,1037802,GREYHOUNDS LOVE A DUVET,7,Flat,False,A7,400.0,1st £130 | Others £50 Race Total £380,0,(2-1) £25.44,(2-1-6) £87.64,2,,632764,Keeperhill Vikki,Dorotas Wildcat,Belle,Jun-2022,bd,b,Suppressed,M E Westwood,Mr D Barratt,8/1,1,5,1,8,1,,03.81,"QuickAway,Middle,ALed",24.65,27.0,24.65
15/05/2024,410747,Romford,20:26:00,15/05/2024,1037802,GREYHOUNDS LOVE A DUVET,7,Flat,False,A7,400.0,1st £130 | Others £50 Race Total £380,0,(2-1) £25.44,(2-1-6) £87.64,1,,626072,Sparkling Peanut,Pestana,Telex Brat,Aug-2021,bk,b,Unknown,M E Wiley,Mr K J Arnold,5/4F,2,1,1,5,4,1 1/2,03.85,"Rails,EveryChance",24.77,26.9,24.77
15/05/2024,410747,Romford,20:26:00,15/05/2024,1037802,GREYHOUNDS LOVE A DUVET,7,Flat,False,A7,400.0,1st £130 | Others £50 Race Total £380,0,(2-1) £25.44,(2-1-6) £87.64,6,,609953,Longedfor June,Pestana,Laughil Amy,Jan-2021,bk,b,Suppressed,P W Young,"Miss R M Resnick,mr A W Shaves",6/1,3,4,1,6,1,2 1/2,03.84,"Wide,Bumped1",24.97,26.2,24.97
15/05/2024,410747,Romford,20:26:00,15/05/2024,1037802,GREYHOUNDS LOVE A DUVET,7,Flat,False,A7,400.0,1st £130 | Others £50 Race Total £380,0,(2-1) £25.44,(2-1-6) £87.64,4,,638279,Cantbeasked,Bubbly Bluebird,Three Ems,Aug-2022,bk,d,,P W Young,"Mr A A Chalmers,mrs J A Chalmers,miss Y E Smith,mr P R Smith",9/4,4,2,1,9,4,1,03.84,"Middle,BumpedRunUp&1&3",25.05,33.8,25.05
15/05/2024,410747,Romford,20:26:00,15/05/2024,1037802,GREYHOUNDS LOVE A DUVET,7,Flat,False,A7,400.0,1st £130 | Others £50 Race Total £380,0,(2-1) £25.44,(2-1-6) £87.64,5,,638262,Young Ems,Bubbly Bluebird,Three Ems,Aug-2022,bk,b,Unknown,P W Young,Young At Heart Syndicate,7/2,5,3,1,7,2,1 1/4,03.89,"MiddleToWide,Bumped1,Blk3",25.15,26.9,25.15
15/05/2024,410747,Romford,20:26:00,15/05/2024,1037802,GREYHOUNDS LOVE A DUVET,7,Flat,False,A7,400.0,1st £130 | Others £50 Race Total £380,0,(2-1) £25.44,(2-1-6) £87.64,3,,627096,Bronaghs Beauty,Skywalker Rafa,Slipaway Rose,May-2021,bkw,b,Suppressed,M E Wiley,Mr M E Wiley,20/1,6,6,1,20,1,3 1/4,03.89,"Middle,BumpedRunUp&1",25.41,27.7,25.41
15/05/2024,410747,Romford,20:44:00,15/05/2024,1037803,THE FUTURE OF RACING: PREMIER GREYHOUND RACING TV,8,Flat,False,A1,400.0,1st £205 | Others £55 Race Total £480,0,(5-3) £10.38,(5-3-1) £34.54,5,,630583,Orange Ryan,Good News,Orange Maeve,Sep-2021,be,d,,M E Westwood,Mr J G Brooke,9/4F,1,1,1,9,4,,03.79,"Wide,Led3",24.16,32.0,24.16
15/05/2024,410747,Romford,20:44:00,15/05/2024,1037803,THE FUTURE OF RACING: PREMIER GREYHOUND RACING TV,8,Flat,False,A1,400.0,1st £205 | Others £55 Race Total £480,0,(5-3) £10.38,(5-3-1) £34.54,3,,627827,Burgess Coolio,Burgess Bucks,Burgess Dancer,Jul-2021,bk,d,,M E Wiley,"Mr G Bruce,mr R Hatton,mr D D Williams",5/2,2,2,1,5,2,5 3/4,03.72,"EP,MidTRls,FcdTCk1,Bmp3",24.62,33.8,24.62
15/05/2024,410747,Romford,20:44:00,15/05/2024,1037803,THE FUTURE OF RACING: PREMIER GREYHOUND RACING TV,8,Flat,False,A1,400.0,1st £205 | Others £55 Race Total £480,0,(5-3) £10.38,(5-3-1) £34.54,1,,636133,Aces To Open,Droopys Sydney,Newline Mo,Jun-2022,bk,b,Unknown,J Bloomfield,Supersonic Syndicate,6/1,3,5,1,6,1,1,03.85,"SlowAway,Rails,Bumped3",24.70,26.5,24.70
15/05/2024,410747,Romford,20:44:00,15/05/2024,1037803,THE FUTURE OF RACING: PREMIER GREYHOUND RACING TV,8,Flat,False,A1,400.0,1st £205 | Others £55 Race Total £480,0,(5-3) £10.38,(5-3-1) £34.54,6,,620871,Blackball Rancho,Pestana,Urban Fashion,Mar-2021,bk,d,,D Mullins,Skillshot Syndicate,8/1,4,6,1,8,1,3 1/2,03.80,"SAw,Wide,Baulked3",24.98,32.8,24.98
15/05/2024,410747,Romford,20:44:00,15/05/2024,1037803,THE FUTURE OF RACING: PREMIER GREYHOUND RACING TV,8,Flat,False,A1,400.0,1st £205 | Others £55 Race Total £480,0,(5-3) £10.38,(5-3-1) £34.54,2,,638872,Droopys Maybe,Romeo Recruit,Droopys Hunch,Oct-2022,bkw,b,Unknown,P W Young,"Mrs J M Hardy,mr P W Young",7/2,5,3,1,7,2,1/2,03.82,"RailsTMiddle,FcdTCk 1/4,Bmp3",25.02,27.8,25.02
15/05/2024,410747,Romford,20:44:00,15/05/2024,1037803,THE FUTURE OF RACING: PREMIER GREYHOUND RACING TV,8,Flat,False,A1,400.0,1st £205 | Others £55 Race Total £480,0,(5-3) £10.38,(5-3-1) £34.54,4,,638080,Topper Conor,Good News,Ballymac Razzler,Jul-2022,bk,d,,K M O'flaherty,Mr J P Bradley,4/1,6,4,1,4,1,1/2,03.70,"QAw,Mid,LedToBadlyBmp3",25.06,34.6,25.06
15/05/2024,410747,Romford,21:02:00,15/05/2024,1037804,''YOUNG TELEX'' DOG OF THE MONTH FOR APRIL,9,Flat,False,A6,400.0,1st £135 | Others £55 Race Total £355,0,(3-4) £10.52,(3-4-2) £0.00,1,,,,,,,,,,,,,,,,,,,,,,,
15/05/2024,410747,Romford,21:02:00,15/05/2024,1037804,''YOUNG TELEX'' DOG OF THE MONTH FOR APRIL,9,Flat,False,A6,400.0,1st £135 | Others £55 Race Total £355,0,(3-4) £10.52,(3-4-2) £0.00,3,,633177,Orange Aaron,Good News,Orange Maeve,Sep-2021,be,d,,M E Westwood,Mr J G Brooke,7/4,1,2,1,7,4,,03.78,"MiddleToRails,Led2",24.22,31.1,24.22
15/05/2024,410747,Romford,21:02:00,15/05/2024,1037804,''YOUNG TELEX'' DOG OF THE MONTH FOR APRIL,9,Flat,False,A6,400.0,1st £135 | Others £55 Race Total £355,0,(3-4) £10.52,(3-4-2) £0.00,4,,619908,Think Again,King Elvis,Swabys Luciejane,Apr-2021,bk,d,,D Mullins,"Mr R J Swaby,mr G B Thompson",4/1,2,3,1,4,1,5 1/2,03.76,"QAw,Mid,LedTo2,FcdToCk3",24.66,33.3,24.66
15/05/2024,410747,Romford,21:02:00,15/05/2024,1037804,''YOUNG TELEX'' DOG OF THE MONTH FOR APRIL,9,Flat,False,A6,400.0,1st £135 | Others £55 Race Total £355,0,(3-4) £10.52,(3-4-2) £0.00,2,,605349,Young Telex,Laughil Blake,Telex Ping,Oct-2020,bk,d,,P W Young,Young At Heart Syndicate,13/8F,3,1,1,13,8,1/2,03.90,"SlowAway,RailsToMiddle",24.70,31.6,24.70
15/05/2024,410747,Romford,21:02:00,15/05/2024,1037804,''YOUNG TELEX'' DOG OF THE MONTH FOR APRIL,9,Flat,False,A6,400.0,1st £135 | Others £55 Race Total £355,0,(3-4) £10.52,(3-4-2) £0.00,5,,620783,Cheriana Roisin,Pestana,Partners Roisin,May-2021,dkbd,b,11.Oc.22,J Bloomfield,The Apollo Uk Syndicate,9/2,4,4,1,9,2,3,03.82,"Wide,ClearRun",24.94,28.2,24.94
15/05/2024,410747,Romford,21:02:00,15/05/2024,1037804,''YOUNG TELEX'' DOG OF THE MONTH FOR APRIL,9,Flat,False,A6,400.0,1st £135 | Others £55 Race Total £355,0,(3-4) £10.52,(3-4-2) £0.00,6,,609704,Orange Niamh,Droopys Cain,Orange Maeve,Dec-2020,bk,b,Suppressed,M E Westwood,Mr D P Webb,8/1,5,5,1,8,1,1,03.85,"SlowAway,Wide",25.02,29.0,25.02
15/05/2024,410747,Romford,21:21:00,15/05/2024,1037805,ASHWELLS GREYHOUND RETIREMENT HOME,10,Flat,False,A9,400.0,1st £115 | Others £45 Race Total £340,0,(6-5) £5.54,(6-5-4) £14.69,6,,620782,Buzz,Pestana,Partners Roisin,May-2021,bd,d,,J Bloomfield,The Apollo Uk Syndicate,6/4F,1,1,1,6,4,,03.91,"Wide,Led 3/4",24.74,32.2,24.74
15/05/2024,410747,Romford,21:21:00,15/05/2024,1037805,ASHWELLS GREYHOUND RETIREMENT HOME,10,Flat,False,A9,400.0,1st £115 | Others £45 Race Total £340,0,(6-5) £5.54,(6-5-4) £14.69,5,,630095,Conans Jaguar,Broadstrand Bono,Conans Lass,Feb-2022,bk,d,,P W Young,Conans Racing Club,9/4,2,2,1,9,4,1 3/4,03.97,"Wide,Bumped1,RanOn",24.88,35.2,24.88
15/05/2024,410747,Romford,21:21:00,15/05/2024,1037805,ASHWELLS GREYHOUND RETIREMENT HOME,10,Flat,False,A9,400.0,1st £115 | Others £45 Race Total £340,0,(6-5) £5.54,(6-5-4) £14.69,4,,539409,Seven Of Nine,Laughil Blake,Pipette,Feb-2019,bk,b,Suppressed,P W Young,Jeopardy Racing Syndicate,5/1,3,4,2,5,1,2,03.73,"QAw,Middle,LedTo 3/4",25.04,27.8,25.04
15/05/2024,410747,Romford,21:21:00,15/05/2024,1037805,ASHWELLS GREYHOUND RETIREMENT HOME,10,Flat,False,A9,400.0,1st £115 | Others £45 Race Total £340,0,(6-5) £5.54,(6-5-4) £14.69,1,,641879,Yacht Choice,Droopys Sydney,Annual Parlena,Aug-2022,dkbd,b,Unknown,P W Young,Mr P W Young,5/1,4,4,2,5,1,2,03.93,"Rails,Bumped1& 1/4",25.20,25.3,25.20
15/05/2024,410747,Romford,21:21:00,15/05/2024,1037805,ASHWELLS GREYHOUND RETIREMENT HOME,10,Flat,False,A9,400.0,1st £115 | Others £45 Race Total £340,0,(6-5) £5.54,(6-5-4) £14.69,2,,635217,Keeperhill Quiz,Skywalker Canny,Kathleens Patch,Apr-2022,be,d,,M E Westwood,Mr D Barratt,9/2,5,3,1,9,2,2,03.95,"RailsToMiddle,Bmp1& 1/4",25.36,32.3,25.36
